"";"COD6D";"benf_plano_media";"benf_plano_mediana"
"1520";"241310";44,75;45
"1521";"250380";126,75;125
"1522";"280260";37,5;38
"1523";"311600";67;67,5
"1524";"260340";77,5;53
"1525";"350230";195;196,5
"1526";"411885";123,25;122,5
"1527";"320360";136,5;137,5
"1528";"352450";1701;1679,5
"1529";"317190";195;195
"1530";"170035";88,5;89
"1531";"220209";99;99,5
"1532";"221030";300,25;294,5
"1533";"353420";4533,75;4524,5
"1534";"316780";815,5;815,5
"1535";"431247";681;679
"1536";"316600";121,5;119,5
"1537";"411535";567,5;568,5
"1538";"411745";814,75;806,5
"1539";"315950";58;58
"1540";"431675";528,75;531
"1541";"520993";85;82,5
"1542";"350180";913;894
"1543";"420740";177,75;178
"1544";"313695";17,5;17
"1545";"355290";700,5;700
"1546";"292935";36,25;35
"1547";"310550";135,75;136,5
"1548";"220515";7;7
"1549";"354570";987,75;989,5
"1550";"412863";71,75;70,5
"1551";"431920";98,5;98
"1552";"240370";183;184,5
"1553";"410335";420,25;419
"1554";"110060";107,25;105
"1555";"316447";25,75;26
"1556";"171380";39,25;37,5
"1557";"430165";762,75;762,5
"1558";"241330";57,75;57,5
