"";"MUNIC_RES";"n";"total";"prop"
"646";211176;84;344;0,244186046511628
"647";211178;130;410;0,317073170731707
"648";211180;560;1145;0,489082969432314
"649";211190;541;716;0,755586592178771
"650";211195;57;175;0,325714285714286
"651";211200;115;286;0,402097902097902
"652";211210;552;1035;0,533333333333333
"653";211220;2150;6818;0,315341742446465
"654";211223;422;1128;0,374113475177305
"655";211227;44;146;0,301369863013699
"656";211230;560;1560;0,358974358974359
"657";211240;1219;1959;0,622256253190403
"658";211245;68;325;0,209230769230769
"659";211250;926;2111;0,438654666035054
"660";211260;505;1123;0,449688334817453
"661";211270;861;2047;0,420615534929165
"662";211280;447;1459;0,30637422892392
"663";211285;359;618;0,580906148867314
"664";211290;237;758;0,312664907651715
"665";211300;934;1876;0,497867803837953
"666";211400;786;2708;0,290251107828656
"667";220005;78;291;0,268041237113402
"668";220010;73;223;0,327354260089686
"669";220020;117;585;0,2
"670";220025;479;763;0,62778505897772
"671";220027;96;278;0,345323741007194
"672";220030;115;424;0,27122641509434
"673";220040;889;2206;0,402991840435177
"674";220045;63;279;0,225806451612903
"675";220050;498;1304;0,381901840490798
"676";220060;109;305;0,357377049180328
"677";220070;102;392;0,260204081632653
"678";220080;12;63;0,19047619047619
"679";220090;141;397;0,355163727959698
"680";220095;30;70;0,428571428571429
"681";220100;71;252;0,281746031746032
"682";220105;52;173;0,300578034682081
"683";220110;103;380;0,271052631578947
"684";220115;27;134;0,201492537313433
"685";220117;19;84;0,226190476190476
"686";220120;1195;2958;0,403989181879648
"687";220130;24;69;0,347826086956522
"688";220140;142;333;0,426426426426426
"689";220150;705;1570;0,449044585987261
"690";220155;14;58;0,241379310344828
"691";220157;40;87;0,459770114942529
"692";220160;107;388;0,275773195876289
"693";220170;45;167;0,269461077844311
"694";220173;23;156;0,147435897435897
"695";220177;30;168;0,178571428571429
"696";220180;142;316;0,449367088607595
"697";220190;888;2419;0,36709384042993
"698";220191;88;307;0,286644951140065
"699";220192;195;603;0,323383084577114
"700";220194;167;386;0,432642487046632
"701";220196;20;206;0,0970873786407767
"702";220198;74;162;0,45679012345679
"703";220200;923;2280;0,404824561403509
"704";220202;52;187;0,27807486631016
"705";220205;134;373;0,359249329758713
"706";220207;35;114;0,307017543859649
"707";220208;64;232;0,275862068965517
"708";220209;75;240;0,3125
"709";220210;33;130;0,253846153846154
"710";220211;24;118;0,203389830508475
"711";220213;184;409;0,449877750611247
"712";220217;61;194;0,314432989690722
"713";220220;1211;3201;0,378319275226492
"714";220225;29;110;0,263636363636364
"715";220230;927;1718;0,539580908032596
"716";220240;161;460;0,35
"717";220245;24;83;0,289156626506024
"718";220250;238;752;0,316489361702128
"719";220253;64;246;0,260162601626016
"720";220255;54;187;0,288770053475936
"721";220260;630;1406;0,448079658605974
"722";220265;70;240;0,291666666666667
"723";220270;1107;2162;0,512025901942646
"724";220271;92;258;0,356589147286822
"725";220272;91;245;0,371428571428571
"726";220273;56;147;0,380952380952381
"727";220275;28;184;0,152173913043478
"728";220277;187;468;0,39957264957265
"729";220280;16;91;0,175824175824176
"730";220285;235;576;0,407986111111111
"731";220290;796;1282;0,620904836193448
"732";220300;64;137;0,467153284671533
"733";220310;280;701;0,399429386590585
"734";220320;387;934;0,414346895074946
"735";220323;154;390;0,394871794871795
"736";220325;20;126;0,158730158730159
"737";220327;54;149;0,36241610738255
"738";220330;379;959;0,395203336809176
"739";220335;214;652;0,328220858895706
"740";220340;230;525;0,438095238095238
"741";220342;10;95;0,105263157894737
"742";220345;105;383;0,274151436031332
"743";220350;442;1211;0,364987613542527
"744";220360;12;90;0,133333333333333
"745";220370;1142;2502;0,456434852118305
"746";220375;213;494;0,431174089068826
"747";220380;31;156;0,198717948717949
"748";220385;73;176;0,414772727272727
"749";220390;1717;4735;0,362618796198522
"750";220400;94;215;0,437209302325581
"751";220410;78;280;0,278571428571429
"752";220415;30;102;0,294117647058824
"753";220420;180;470;0,382978723404255
"754";220430;949;2181;0,435121503897295
"755";220435;202;427;0,473067915690867
