"";"COD7D";"Municipio";"COD6D";"Aracaju";"Belem";"Belo_Horizonte";"Boa_Vista";"Brasilia";"Campo_Grande";"Cuiaba";"Curitiba";"Florianopolis";"Fortaleza";"Goiania";"Joao_Pessoa";"Macapa";"Maceio";"Manaus";"Natal";"Palmas";"Porto_Alegre";"Porto_Velho";"Recife";"Rio_Branco";"Rio_de_Janeiro";"Salvador";"Sao_Luis";"Sao_Paulo";"Teresina";"Vitoria";"LessDistant"
"1810";"2701803";"CARNEIROS";"270180";171597,072019061;1528544,60310371;1354997,88669853;2940305,86017698;1330598,21773809;2209170,86224902;2123378,78689835;2174817,22621072;2321204,68964192;641195,951600807;1515129,39349603;374725,477466933;1847272,77485493;182011,6650197;2643139,73610837;468787,203907937;1186082,56722379;2697047,35632725;2959143,3235447;310842,963631223;3401069,40079263;1625124,4025199;397169,711303163;1077440,2064058;1854383,43336259;764760,740976896;1237162,66320143;171,59707
"1910";"2701902";"CHÃ PRETA";"270190";213702,127911453;1613662,49838276;1440463,6460958;3036563,60508723;1445508,55778403;2320453,07707521;2244562,92881325;2263823,13506768;2402369,43694332;652622,761525898;1629881,84384292;276926,777219432;1931539,21073254;69532,2993909494;2752877,322923;397343,125418074;1307725,86641833;2780189,93842961;3079722,43361156;198751,891611382;3522357,92429195;1697405,6106717;470402,54766993;1150686,75847155;1939449,38588643;847985,543874726;1295585,77582231;69,5323
"2010";"2702009";"COITÉ DO NÓIA";"270200";161004,778851527;1609402,90935404;1385963,39796436;3025338,43412504;1394599,30181876;2268039,72066862;2198566,99052505;2209237,69506484;2348188,96809583;681149,966113838;1578849,99446444;331448,914209237;1927895,4535415;96434,0227264871;2731045,63071802;448771,159865376;1270594,62043974;2725886,61507365;3044822,28554464;252700,681749099;3485897,14468986;1644008,28236974;416217,611557829;1152897,59991177;1884999,44286467;844259,637866629;1244040,88294015;96,43402
"2110";"2702108";"COLÔNIA LEOPOLDINA";"270210";270094,768601195;1644747,1392477;1499917,49855707;3073876,23996556;1511150,41574246;2385791,64099939;2309156,59873469;2323953,37217377;2459945,6328375;647180,027654035;1695516,9946188;219609,032282529;1961635,48577466;64504,9832383013;2800363,40534266;352029,058228304;1367750,3487196;2838312,6800487;3137782,5719591;135108,868114479;3581474,31772157;1752320,8002697;528935,704593409;1175654,55047541;1998480,07313944;880300,745710358;1345975,99721634;64,50498
"22";"2702207";"COQUEIRO SECO";"270220";205382,576592995;1680849,098547;1433997,14015987;3102087,52245654;1467735,97154791;2336823,60519003;2278507,88238517;2258713,94860811;2391204,07014614;714034,051674365;1651606,25352755;292862,763198338;1998850,48578763;17110,5525972908;2813501,89991944;429431,941675159;1355179,22094459;2770146,83770337;3129633,79231161;201828,846793448;3570513,05464673;1681114,68350731;463646,177096923;1218535,79500307;1931706,98924883;915143,847963013;1271770,50939461;17,11055
"23";"2702306";"CORURIPE";"270230";137865,563468826;1669650,9802247;1366964,23247945;3082302,98413269;1403589,25205136;2270861,32828054;2219188,27650852;2191585,08525211;2325024,84192769;741410,679385667;1587224,92220705;356103,02149088;1988284,90796246;84591,6017183532;2781325,14035142;486373,375083732;1306427,18841307;2703770,28181672;3082348,87536913;267645,499259187;3521362,95059617;1616105,81392796;396333,057402483;1215102,66084649;1864895,0386484;905060,028685994;1209292,50158709;84,5916
"24";"2702355";"CRAÍBAS";"270235";154745,271876959;1590617,63877368;1373507,99385978;3004954,9946426;1375123,87967698;2249666,94531629;2177146,33658971;2196157,58979368;2336846,47579326;674096,853684334;1559453,5929325;344784,194989183;1909210,68514151;119007,272250651;2709046,33306403;456701,141436265;1247934,30387044;2714149,69744867;3022105,48814149;269395,505770871;3463225,33237646;1634459,33522354;405393,393745616;1135899,37381507;1872744,31808129;825857,250909139;1237272,34408437;119,00727
"25";"2702405";"DELMIRO GOUVEIA";"270240";205176,522598348;1463883,13923293;1324676,43524959;2870292,67009696;1272334,39758324;2154231,7476191;2055679,00199332;2140102,70067683;2292581,01260126;622976,32858273;1456850,79562065;428638,579273038;1782714,18811617;257295,802152791;2568821,81593311;504960,447841945;1112064,2897672;2666529,40509187;2884367,97912656;374476,160628354;3326723,54696252;1604434,4545664;387705,463930148;1019481,43440521;1823292,77285161;702811,772813848;1227924,42688502;205,17652
"26";"2702504";"DOIS RIACHOS";"270250";178253,017172868;1549830,17415123;1379848,24741634;2965237,61395154;1363102,33266646;2240858,63935292;2157227,66733981;2200806,5361701;2345141,40307061;639627,640539153;1547610,02831881;344772,235121975;1868389,55967837;150074,119703434;2672299,82353828;444935,657693328;1219433,1850497;2721557,03577134;2992054,78068217;278121,488415141;3434275,09619875;1646513,35913463;417129,812502926;1094855,78429909;1879272,46337856;784939,464319171;1254564,40285156;150,07412
"27";"2702553";"ESTRELA DE ALAGOAS";"270255";180635,828186091;1577572,55418874;1396448,60408137;2995163,4888144;1390392,01223504;2266640,4487804;2187771,53049225;2218615,10145587;2360409,46659493;649840,664613617;1574833,54308418;323304,917893277;1895975,88263043;117272,712702403;2704400,56628727;431902,534531668;1252081,00930691;2737470,93041752;3024890,90219892;251560,53270185;3467006,19095091;1658949,3396025;429550,618611039;1120063,82401492;1895776,26233417;812209,172805221;1262745,00106932;117,27271
"28";"2702603";"FEIRA GRANDE";"270260";130815,49839714;1618613,12869046;1357040,1243327;3030393,73584941;1372415,54990676;2244051,58846305;2180820,05670088;2180587,37510317;2318773,72551362;705903,55404653;1556500,30516965;360400,946036075;1937304,85342579;112289,184785601;2729981,95168516;478993,164084635;1259975,58012204;2696613,08530626;3035303,4898052;279596,074123446;3475250,2846632;1614093,8190132;386810,877784876;1165720,57691825;1855961,16890282;854423,3573059;1213801,61002923;112,28918
