"";"CODUFMUN";"medicos_g1";"medicos_g2";"medicos_g3"
"863";"313640";10,5;1;10,5
"864";"420950";9;2;4,5
"865";"430560";8;1;8
"866";"431247";11;2;5,5
"867";"310375";48;3;16
"868";"316020";3;2;1,5
"869";"500490";9;2;4,5
"870";"411380";13;2;6,5
"871";"280220";6;2;3
"872";"520465";9,5;2;4,75
"873";"260710";11;2;5,5
"874";"354510";5;NA;NA
"875";"354700";14;NA;NA
"876";"240160";4;2;2
"877";"500797";20;1;20
"878";"314010";2,5;2,5;1
"879";"432375";2;1;2
"880";"500480";7;1;7
"881";"150690";6;3;2
"882";"251520";3;1;3
"883";"430632";3;1;3
"884";"353990";5;NA;NA
"885";"311140";7;1;7
"886";"311265";5;2;2,5
"887";"412130";5;NA;NA
"888";"354110";7;NA;NA
"889";"220740";2;2;1
"890";"432060";11;2;5,5
"891";"410712";2;1;2
"892";"410755";4;2;2
"893";"315530";9;2;4,5
"894";"314920";13,5;1;13,5
"895";"314820";14;2;7
"896";"220930";2;2;1
"897";"220600";4;2;2
"898";"510895";12;3;4
"899";"270370";8;3;2,66666666666667
"900";"354270";9;2;4,5
"901";"353770";6;2;3
"902";"410337";4;2;2
"903";"412627";6;2;3
"904";"240680";4;2;2
"905";"280520";5;3;1,66666666666667
"906";"431477";4;2;2
"907";"354460";5;NA;NA
"908";"521525";3;2;1,5
"909";"411575";9;2;4,5
"910";"430540";15;3;5
"911";"353750";9;3;3
"912";"170190";8;2;4
"913";"420915";11;2;5,5
"914";"412670";10;4;2,5
"915";"220775";2;2;1
"916";"250380";4;2;2
"917";"316010";9;2;4,5
"918";"432030";22;1;22
"919";"311460";17;1;17
"920";"240850";5;2;2,5
"921";"311810";3,5;2;1,75
"922";"520480";16;2;8
"923";"410790";21;2;10,5
"924";"220027";2;2;1
"925";"314970";9;2;4,5
"926";"313040";10;2;5
"927";"313160";15,5;2,5;6,2
"928";"317210";10;2;5
"929";"352120";4,5;2;2,25
"930";"240840";5;2;2,5
"931";"315440";6;2;3
"932";"110070";9;7;1,28571428571429
"933";"315090";5;1;5
"934";"350430";5;NA;NA
"935";"314060";2;1;2
"936";"420520";15;4;3,75
"937";"510395";2;1;2
"938";"241370";8;2;4
"939";"312060";9;2;4,5
"940";"521940";2;1;2
"941";"420060";9;3;3
"942";"172020";5;3;1,66666666666667
"943";"430905";9;NA;NA
"944";"311480";10;3;3,33333333333333
"945";"354040";16;2;8
"946";"411130";11;4;2,75
"947";"500350";4;3;1,33333333333333
"948";"120034";6,5;5;1,3
"949";"220360";3;2;1,5
"950";"432035";5;NA;NA
"951";"412310";3;1;3
"952";"110090";5;2;2,5
"953";"510810";7;1;7
"954";"315760";4;2;2
"955";"430630";18,5;2;9,25
"956";"210010";3;2;1,5
"957";"352060";6;2;3
"958";"240400";23;2;11,5
"959";"250870";10;4;2,5
"960";"311010";11;2;5,5
"961";"353160";6;3;2
"962";"431300";10;NA;NA
"963";"352630";16;2;8
"964";"313507";4;2;2
"965";"411860";7;2;3,5
"966";"170270";2;1;2
"967";"355420";16;NA;NA
"968";"411340";4;2;2
"969";"421040";8;2;4
"970";"290950";10;2;5
"971";"280470";5;2;2,5
"972";"352070";23,5;1;23,5
"973";"421330";6,5;2,5;2,6
"974";"316910";17;2;8,5
"975";"420760";24;2;12
"976";"350110";25;2;12,5
"977";"290880";5;2;2,5
"978";"420660";12;3;4
"979";"521690";3;1;3
"980";"430845";17;2;8,5
"981";"110110";3;1;3
"982";"352660";13;3,5;3,71428571428571
"983";"130006";4;2;2
"984";"240290";7;2;3,5
"985";"411230";8;2;4
"986";"420665";4;2;2
"987";"510680";6;3;2
"988";"240330";11;3;3,66666666666667
"989";"521490";3;1;3
"990";"230480";7;2;3,5
"991";"130395";7;4;1,75
"992";"521520";7;3;2,33333333333333
"993";"312100";5;3;1,66666666666667
"994";"355290";8;2;4
